,precision,recall,f1-score,support
0,0.28,0.6666666666666666,0.39436619718309857,21.0
1,0.3055555555555556,0.4074074074074074,0.3492063492063492,27.0
2,0.5454545454545454,0.42857142857142855,0.48,14.0
3,0.45454545454545453,0.5,0.47619047619047616,10.0
4,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
5,0.6666666666666666,0.7692307692307693,0.7142857142857143,13.0
6,0.20689655172413793,0.46153846153846156,0.2857142857142857,13.0
7,0.28,0.7777777777777778,0.4117647058823529,9.0
8,0.25,0.16666666666666666,0.2,6.0
9,0.5,0.2857142857142857,0.36363636363636365,7.0
a,0.8771929824561403,0.704225352112676,0.78125,142.0
b,0.20588235294117646,0.45161290322580644,0.2828282828282828,31.0
c,0.8648648648648649,0.5818181818181818,0.6956521739130435,55.0
d,0.40425531914893614,0.40425531914893614,0.40425531914893614,47.0
e,0.9270833333333334,0.6592592592592592,0.7705627705627706,135.0
f,0.47058823529411764,0.6956521739130435,0.5614035087719298,23.0
g,0.5555555555555556,0.6944444444444444,0.6172839506172839,36.0
h,0.7368421052631579,0.5714285714285714,0.6436781609195402,49.0
i,0.7586206896551724,0.5116279069767442,0.6111111111111112,86.0
j,0.1,0.45454545454545453,0.16393442622950818,22.0
k,0.6551724137931034,0.76,0.7037037037037037,25.0
l,0.7954545454545454,0.813953488372093,0.8045977011494253,43.0
m,0.5094339622641509,0.7105263157894737,0.5934065934065934,38.0
n,0.8571428571428571,0.54,0.6625766871165644,100.0
o,0.8305084745762712,0.46226415094339623,0.593939393939394,106.0
p,0.5625,0.6923076923076923,0.6206896551724138,39.0
q,0.175,0.3888888888888889,0.2413793103448276,18.0
r,0.7846153846153846,0.49514563106796117,0.6071428571428571,103.0
s,0.9104477611940298,0.6559139784946236,0.7625,93.0
t,0.8169014084507042,0.6823529411764706,0.7435897435897436,85.0
u,0.3488372093023256,0.5555555555555556,0.42857142857142855,27.0
v,0.8823529411764706,0.6521739130434783,0.75,23.0
w,0.7058823529411765,0.5714285714285714,0.631578947368421,21.0
x,0.2926829268292683,0.5217391304347826,0.375,23.0
y,0.5185185185185185,0.6363636363636364,0.5714285714285714,22.0
z,0.25,0.3333333333333333,0.2857142857142857,18.0
accuracy,0.5880441845354126,0.5880441845354126,0.5880441845354126,0.5880441845354126
macro avg,0.5480527614767241,0.5585787417247494,0.5285385310914923,1539.0
weighted avg,0.6998719485785616,0.5880441845354126,0.620569393697303,1539.0
