,precision,recall,f1-score,support
0,0.26,0.6190476190476191,0.36619718309859156,21.0
1,0.2777777777777778,0.37037037037037035,0.31746031746031744,27.0
2,0.5833333333333334,0.5,0.5384615384615384,14.0
3,0.45454545454545453,0.5,0.47619047619047616,10.0
4,0.5714285714285714,0.4444444444444444,0.5,9.0
5,0.6666666666666666,0.7692307692307693,0.7142857142857143,13.0
6,0.24,0.46153846153846156,0.3157894736842105,13.0
7,0.2692307692307692,0.7777777777777778,0.4,9.0
8,0.0,0.0,0.0,6.0
9,0.5,0.2857142857142857,0.36363636363636365,7.0
a,0.8583333333333333,0.7253521126760564,0.7862595419847328,142.0
b,0.21428571428571427,0.4838709677419355,0.297029702970297,31.0
c,0.8571428571428571,0.5454545454545454,0.6666666666666666,55.0
d,0.38461538461538464,0.425531914893617,0.40404040404040403,47.0
e,0.8867924528301887,0.6962962962962963,0.7800829875518672,135.0
f,0.5161290322580645,0.6956521739130435,0.5925925925925926,23.0
g,0.5681818181818182,0.6944444444444444,0.625,36.0
h,0.7297297297297297,0.5510204081632653,0.627906976744186,49.0
i,0.7333333333333333,0.5116279069767442,0.6027397260273972,86.0
j,0.10714285714285714,0.4090909090909091,0.16981132075471697,22.0
k,0.6,0.72,0.6545454545454545,25.0
l,0.8333333333333334,0.813953488372093,0.8235294117647058,43.0
m,0.46551724137931033,0.7105263157894737,0.5625,38.0
n,0.85,0.51,0.6375,100.0
o,0.8166666666666667,0.46226415094339623,0.5903614457831325,106.0
p,0.54,0.6923076923076923,0.6067415730337079,39.0
q,0.18421052631578946,0.3888888888888889,0.25,18.0
r,0.7285714285714285,0.49514563106796117,0.5895953757225434,103.0
s,0.8955223880597015,0.6451612903225806,0.75,93.0
t,0.8169014084507042,0.6823529411764706,0.7435897435897436,85.0
u,0.3111111111111111,0.5185185185185185,0.3888888888888889,27.0
v,0.9375,0.6521739130434783,0.7692307692307693,23.0
w,0.75,0.5714285714285714,0.6486486486486487,21.0
x,0.3333333333333333,0.5217391304347826,0.4067796610169492,23.0
y,0.4827586206896552,0.6363636363636364,0.5490196078431373,22.0
z,0.25,0.3333333333333333,0.2857142857142857,18.0
accuracy,0.5867446393762183,0.5867446393762183,0.5867446393762183,0.5867446393762183
macro avg,0.5409470873263024,0.5505728586045961,0.5222443292203345,1539.0
weighted avg,0.6863041671010213,0.5867446393762183,0.6150797186673707,1539.0
