,precision,recall,f1-score,support
0,0.26,0.6190476190476191,0.36619718309859156,21.0
1,0.2857142857142857,0.37037037037037035,0.3225806451612903,27.0
2,0.5833333333333334,0.5,0.5384615384615384,14.0
3,0.45454545454545453,0.5,0.47619047619047616,10.0
4,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
5,0.6875,0.8461538461538461,0.7586206896551724,13.0
6,0.24,0.46153846153846156,0.3157894736842105,13.0
7,0.28,0.7777777777777778,0.4117647058823529,9.0
8,0.0,0.0,0.0,6.0
9,0.5,0.2857142857142857,0.36363636363636365,7.0
a,0.8571428571428571,0.7183098591549296,0.7816091954022989,142.0
b,0.2463768115942029,0.5483870967741935,0.34,31.0
c,0.8333333333333334,0.5454545454545454,0.6593406593406593,55.0
d,0.37735849056603776,0.425531914893617,0.4,47.0
e,0.9038461538461539,0.6962962962962963,0.7866108786610879,135.0
f,0.5161290322580645,0.6956521739130435,0.5925925925925926,23.0
g,0.5476190476190477,0.6388888888888888,0.5897435897435898,36.0
h,0.75,0.5510204081632653,0.6352941176470588,49.0
i,0.7333333333333333,0.5116279069767442,0.6027397260273972,86.0
j,0.10465116279069768,0.4090909090909091,0.16666666666666666,22.0
k,0.6333333333333333,0.76,0.6909090909090909,25.0
l,0.8333333333333334,0.813953488372093,0.8235294117647058,43.0
m,0.4666666666666667,0.7368421052631579,0.5714285714285714,38.0
n,0.864406779661017,0.51,0.6415094339622641,100.0
o,0.8032786885245902,0.46226415094339623,0.5868263473053892,106.0
p,0.5510204081632653,0.6923076923076923,0.6136363636363636,39.0
q,0.1891891891891892,0.3888888888888889,0.2545454545454545,18.0
r,0.75,0.49514563106796117,0.5964912280701754,103.0
s,0.8695652173913043,0.6451612903225806,0.7407407407407407,93.0
t,0.8194444444444444,0.6941176470588235,0.7515923566878981,85.0
u,0.3181818181818182,0.5185185185185185,0.39436619718309857,27.0
v,0.9375,0.6521739130434783,0.7692307692307693,23.0
w,0.7058823529411765,0.5714285714285714,0.631578947368421,21.0
x,0.35135135135135137,0.5652173913043478,0.43333333333333335,23.0
y,0.4827586206896552,0.6363636363636364,0.5490196078431373,22.0
z,0.2608695652173913,0.3333333333333333,0.2926829268292683,18.0
accuracy,0.5893437296946069,0.5893437296946069,0.5893437296946069,0.5893437296946069
macro avg,0.5400585974891606,0.5561395295241588,0.5248251035315132,1539.0
weighted avg,0.6878743712443498,0.5893437296946069,0.6170189652668517,1539.0
